Facility,Department,Room,Bed,Bed Class,Bed Type,Virtual bed
N1SG,NW20,N02001,N020001,classless,ICU/HD,
N1SG,NW20,N02002,N020002,classless,ICU/HD,
N1SG,NW20,N02002,N020003,classless,ICU/HD,
N1SG,NW20,N02002,N020004,classless,ICU/HD,
N1SG,NW20,N02002,N020005,classless,ICU/HD,
N1SG,NW20,N02002,N020006,classless,ICU/HD,
N1SG,NW20,N02003,N020007,classless,ICU/HD,
N1SG,NW20,N02004,N020008,classless,ICU/HD,
N1SG,NW20,N02005,N020009,classless,ICU/HD,
N1SG,NW20,N02006,N020010,classless,ICU/HD,
N1SG,NW20,N02007,N020011,classless,ICU/HD,
N1SG,NW20,N02008,N020012,classless,ICU/HD,
N1SG,NW20,N02008,N020013,classless,ICU/HD,
N1SG,NW20,N02008,N020014,classless,ICU/HD,
N1SG,NW20,N02008,N020015,classless,ICU/HD,
N1SG,NW21,N02101,N021001,classless,ICU/HD,
N1SG,NW21,N02102,N021002,classless,ICU/HD,
N1SG,NW21,N02103,N021003,classless,ICU/HD,
N1SG,NW21,N02104,N021004,classless,ICU/HD,
N1SG,NW21,N02105,N021005,classless,ICU/HD,
N1SG,NW21,N02106,N021006,classless,ICU/HD,
N1SG,NW21,N02107,N021007,classless,ICU/HD,
N1SG,NW21,N02108,N021008,classless,ICU/HD,
N1SG,NW21,N02109,N021009,classless,ICU/HD,
N1SG,NW21,N02110,N021010,classless,ICU/HD,
N1SG,NW21,N02111,N021011,classless,ICU/HD,
N1SG,NW21,N02112,N021012,classless,ICU/HD,
N1SG,NW21,N02113,N021013,classless,ICU/HD,
N1SG,NW22,N02201,N022001,others,Others,
N1SG,NW22,N02201,N022002,others,Others,
N1SG,NW22,N02201,N022003,others,Others,
N1SG,NW22,N02201,N022004,others,Others,
N1SG,NW22,N02202,N022005,others,Others,
N1SG,NW22,N02203,N022006,others,Others,
N1SG,NW22,N02204,N022007,others,Others,
N1SG,NW22,N02205,N022008,others,Others,
N1SG,NW22,N02206,N022009,others,Others,
N1SG,NW22,N02207,N022010,others,Others,
N1SG,NW22,N02208,N022011,others,Others,
N1SG,NW22,N02209,N022012,others,Others,
N1SG,NW23,N02301,N023001,classless,ICU/HD,
N1SG,NW23,N02302,N023002,classless,ICU/HD,
N1SG,NW23,N02303,N023003,classless,ICU/HD,
N1SG,NW23,N02304,N023004,classless,ICU/HD,
N1SG,NW23,N02305,N023005,classless,ICU/HD,
N1SG,NW23,N02306,N023006,classless,ICU/HD,
N1SG,NW23,N02307,N023007,classless,ICU/HD,
N1SG,NW23,N02308,N023008,classless,ICU/HD,
N1SG,NW23,N02309,N023009,classless,ICU/HD,
N1SG,NW23,N02310,N023010,classless,ICU/HD,
N1SG,NW23,N02311,N023011,classless,ICU/HD,
N1SG,NW23,N02312,N023012,classless,ICU/HD,
N1SG,NW24,N02401,N024001,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024002,classless,ICU/HD,
N1SG,NW24,N02401,N024003,classless,ICU/HD,
N1SG,NW24,N02401,N024004,classless,ICU/HD,
N1SG,NW24,N02401,N024005,classless,ICU/HD,
N1SG,NW24,N02401,N024006,classless,ICU/HD,
N1SG,NW24,N02401,N024007,classless,ICU/HD,
N1SG,NW24,N02401,N024008,classless,ICU/HD,
N1SG,NW24,N02401,N024009,classless,ICU/HD,
N1SG,NW24,N02401,N024010,classless,ICU/HD,
N1SG,NW24,N02401,N024011,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024012,classless,ICU/HD,
N1SG,NW24,N02401,N024013,classless,ICU/HD,
N1SG,NW24,N02401,N024014,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024015,classless,ICU/HD,
N1SG,NW24,N02401,N024016,classless,ICU/HD,
N1SG,NW24,N02401,N024017,classless,ICU/HD,
N1SG,NW24,N02401,N024018,classless,ICU/HD,
N1SG,NW24,N02401,N024019,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024020,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024021,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024022,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024023,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024024,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024025,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024026,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024027,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024028,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024029,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024030,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024031,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024032,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024033,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024034,classless,ICU/HD,Yes
N1SG,NW24,N02401,N024035,classless,ICU/HD,Yes
N1SG,NW25,N02501,N025001,classless,ICU/HD,
N1SG,NW25,N02502,N025002,classless,ICU/HD,
N1SG,NW25,N02503,N025003,classless,ICU/HD,
N1SG,NW25,N02504,N025004,classless,ICU/HD,
N1SG,NW25,N02505,N025005,classless,ICU/HD,
N1SG,NW25,N02506,N025006,classless,ICU/HD,
N1SG,NW25,N02507,N025007,classless,ICU/HD,
N1SG,NW25,N02508,N025008,classless,ICU/HD,
N1SG,NW25,N02509,N025009,classless,ICU/HD,
N1SG,NW25,N02510,N025010,classless,ICU/HD,
N1SG,NW25,N02511,N025011,classless,ICU/HD,
N1SG,NW26,N02601,N026001,classless,ICU/HD,
N1SG,NW26,N02602,N026002,classless,ICU/HD,
N1SG,NW26,N02603,N026003,classless,ICU/HD,
N1SG,NW26,N02604,N026004,classless,ICU/HD,
N1SG,NW26,N02605,N026005,classless,ICU/HD,
N1SG,NW26,N02606,N026006,classless,ICU/HD,
N1SG,NW26,N02607,N026007,classless,ICU/HD,
N1SG,NW26,N02608,N026008,classless,ICU/HD,
N1SG,NW26,N02609,N026009,classless,ICU/HD,
N1SG,NW26,N02610,N026010,classless,ICU/HD,
N1SG,NW26,N02611,N026011,classless,ICU/HD,
N1SG,NW26,N02612,N026012,classless,ICU/HD,
N1SG,NW26,N02613,N026013,classless,ICU/HD,
N1SG,NW26,N02614,N026014,classless,ICU/HD,
N1SG,NW26,N02615,N026015,classless,ICU/HD,
N1SG,NW26,N02616,N026016,classless,ICU/HD,
N1SG,NW26,N02617,N026017,classless,ICU/HD,
N1SG,NW26,N02618,N026018,classless,ICU/HD,
N1SG,NW26,N02619,N026019,classless,ICU/HD,
N1SG,NW26,N02620,N026020,classless,ICU/HD,
N1SG,NW27,N02701,N027001,classless,ICU/HD,
N1SG,NW27,N02702,N027002,classless,ICU/HD,
N1SG,NW27,N02703,N027003,classless,ICU/HD,
N1SG,NW27,N02704,N027004,classless,ICU/HD,
N1SG,NW27,N02705,N027005,classless,ICU/HD,
N1SG,NW27,N02706,N027006,classless,ICU/HD,
N1SG,NW27,N02707,N027007,classless,ICU/HD,
